n,k,t,check_bits,percent_correction,array_size,ber,hdm_ber,block_count,block_fail_prob,array_fail_prob,maes_ent, maes_ent_rate, dodis_ent, dodis_ent_rate, total_maes_ent, total_dodis_ent
7,4,1,3,14.29%,1024,0.0100,0.0029, 146,0.000178491963,0.025725466018,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0200,0.0049, 146,0.000492589397,0.069409334961,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0300,0.0068, 146,0.000959197854,0.130737470578,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0400,0.0088, 146,0.001575296787,0.205605170770,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0500,0.0107, 146,0.002337901323,0.289462262043,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0600,0.0127, 146,0.003244061984,0.377743544058,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0700,0.0146, 146,0.004290864410,0.466242734175,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0800,0.0166, 146,0.005475429079,0.551393528511,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.0900,0.0186, 146,0.006794911031,0.630440242521,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1000,0.0205, 146,0.008246499592,0.701498627993,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1100,0.0225, 146,0.009827418098,0.763521924739,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1200,0.0244, 146,0.011534923627,0.816196342489,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1300,0.0264, 146,0.013366306724,0.859793679118,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1400,0.0283, 146,0.015318891132,0.895007450145,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1500,0.0303, 146,0.017390033523,0.922794176033,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
7,4,1,3,14.29%,1024,0.1600,0.0322, 146,0.019577123233,0.944235000124,3.6000, 0.0028,3.6000,0.0028,420.48,420.48
15,11,1,4,6.67%,1024,0.0100,0.0029, 68,0.000878638731,0.058022318467,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0200,0.0049, 68,0.002399751872,0.150730950001,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0300,0.0068, 68,0.004624726097,0.270364963308,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0400,0.0088, 68,0.007516987039,0.401354678600,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0500,0.0107, 68,0.011041253237,0.529980408127,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0600,0.0127, 68,0.015163498998,0.646197187693,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0700,0.0146, 68,0.019850918175,0.744220729531,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0800,0.0166, 68,0.025071888825,0.822116228753,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.0900,0.0186, 68,0.030795938745,0.880811234952,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1000,0.0205, 68,0.036993711857,0.922948630826,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1100,0.0225, 68,0.043636935432,0.951877291805,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1200,0.0244, 68,0.050698388121,0.970927201134,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1300,0.0264, 68,0.058151868796,0.982990174161,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1400,0.0283, 68,0.065972166165,0.990351325737,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1500,0.0303, 68,0.074135029155,0.994688215764,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,11,1,4,6.67%,1024,0.1600,0.0322, 68,0.082617138042,0.997159189018,9.9000, 0.0077,9.9000,0.0077,538.56,538.56
15,7,2,8,13.33%,1024,0.0100,0.0029, 68,0.000011143480,0.000757473854,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0200,0.0049, 68,0.000050690571,0.003441111983,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0300,0.0068, 68,0.000136668544,0.009251039524,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0400,0.0088, 68,0.000285401667,0.019222920592,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0500,0.0107, 68,0.000511986943,0.034224648906,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0600,0.0127, 68,0.000830347979,0.054921340888,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0700,0.0146, 68,0.001253287083,0.081742081718,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0800,0.0166, 68,0.001792535634,0.114853226593,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.0900,0.0186, 68,0.002458802764,0.154142590032,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1000,0.0205, 68,0.003261822418,0.199217941308,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1100,0.0225, 68,0.004210398803,0.249421884968,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1200,0.0244, 68,0.005312450306,0.303863547291,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1300,0.0264, 68,0.006575051895,0.361465689091,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1400,0.0283, 68,0.008004476059,0.421024144580,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1500,0.0303, 68,0.009606232322,0.481275075349,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,7,2,8,13.33%,1024,0.1600,0.0322, 68,0.011385105366,0.540964626113,6.3000, 0.0049,6.3000,0.0049,342.72,342.72
15,5,3,10,20.00%,1024,0.0100,0.0029, 68,0.000000097997,0.000006663786,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0200,0.0049, 68,0.000000743243,0.000050539234,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0300,0.0068, 68,0.000002806454,0.000190820945,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0400,0.0088, 68,0.000007537796,0.000512440721,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0500,0.0107, 68,0.000016532820,0.001123609338,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0600,0.0127, 68,0.000031698944,0.002153240817,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0700,0.0146, 68,0.000055223633,0.003748268392,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0800,0.0166, 68,0.000089544222,0.006070777618,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.0900,0.0186, 68,0.000137319319,0.009294887861,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1000,0.0205, 68,0.000201401741,0.013603324704,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1100,0.0225, 68,0.000284812904,0.019183642321,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1200,0.0244, 68,0.000390718644,0.026224076306,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1300,0.0264, 68,0.000522406381,0.034909033261,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1400,0.0283, 68,0.000683263607,0.045414253015,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1500,0.0303, 68,0.000876757624,0.057901711533,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
15,5,3,10,20.00%,1024,0.1600,0.0322, 68,0.001106416494,0.072514366093,4.5000, 0.0035,4.5000,0.0035,244.80,244.80
31,26,1,5,3.23%,1024,0.0100,0.0029, 33,0.003771876691,0.117244725526,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
31,26,1,5,3.23%,1024,0.0200,0.0049, 33,0.010091710005,0.284460320813,23.4000, 0.0183,23.4000,0.0183,617.76,617.76
